_id,data,fieldToAnnotate,classes,allowMultiClassification,annotations,createdAt
0,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': 'مجدي حبيب يعقوب (مواليد 16 نوفمبر 1935) هو بروفيسور مصري، وجراح قلب بارز'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'history'}]",2024-10-14 14:39:56.415
1,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' من مواليد مدينة بلبيس، محافظة الشرقية، مصر، لعائلة قبطية أرثوذكسية، وتنحدر أصولها من المنيا'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'medical '}]",2024-10-14 14:39:59.186
2,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' درس الطب في جامعة القاهرة، وتعلم في شيكاغو، ثم انتقل إلى بريطانيا في عام 1962 ليعمل في مستشفى الصدر بلندن، ثم أصبح أخصائي جراحات القلب والرئتين في مستشفى هارفيلد (من 1969 إلى 2001)، ومدير قسم الأبحاث العلمية والتعليم (منذ عام 1992)'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'educational'}]",2024-10-14 14:40:00.713
3,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' عُين أستاذًا في المعهد القومي للقلب والرئة في عام 1986، واهتم بتطوير تقنيات جراحات نقل القلب منذ عام 1967'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'history'}]",2024-10-14 14:40:02.265
4,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' في عام 1980 قام بعملية نقل قلب للمريض دريك موريس، والذي أصبح أطول مريض نقل قلب أوروبي على قيد الحياة حتى موته في يوليو 2005'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'medical '}]",2024-10-14 14:40:04.260
5,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' من بين المشاهير الذين أجرى لهم عمليات كان الكوميدي البريطاني إريك موركامب، ومنحته الملكة إليزابيث الثانية لقب فارس في عام 1992، ويُطلق عليه في الإعلام البريطاني لقب «ملك القلوب»'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'educational'}]",2024-10-14 14:40:05.729
6,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\nفي عام 2001 حين أصبح عمره 65 سنة اعتزل إجراء العمليات الجراحية واستمر كاستشاري ومُنظر لعمليات نقل الأعضاء'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'history'}]",2024-10-14 14:40:07.316
7,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' في عام 2006 قطع الدكتور مجدي يعقوب اعتزاله العمليات ليقود عملية معقدة تتطلب إزالة قلب مزروع في مريضة بعد شفاء قلبها الطبيعي، حيث لم يزل القلب الطبيعي للطفلة المريضة خلال عملية الزرع السابقة، والتي قام بها السير مجدي يعقوب'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'educational'}]",2024-10-14 14:40:08.779
8,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\nحصل على زمالة كلية الجراحين الملكية بـلندن، وحصل على ألقابٍ وأوسمةٍ من أكبر الجامعات حول العالم مثل: جامعة برونيل، وجامعة كارديف، وجامعة لوفبرا، وجامعة ميدلسكس (جامعات بريطانية)، وكذلك من جامعة لوند بـالسويد'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'educational'}]",2024-10-14 14:40:10.761
9,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' وله كراس شرفية في جامعة لاهور بـباكستان، وجامعة سيينا بـإيطاليا'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'history'}]",2024-10-14 14:40:13.298
10,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\n\nأرقام قياسية\nفي عام 1983 قام بعملية زرع قلب لرجل إنجليزي يُدعى جون مكافيرتي ليدخل بسبب تلك الجراحة موسوعة غينيس كأطول شخص يعيش بقلب منقول، وذلك لمدة 33 عام حتى توفى جون في 2016'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'history'}]",2024-10-14 14:40:21.996
11,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\n\nمجدى يعقوب وجائزة فخر بريطانيا\nمُنح جائزة فخر بريطانيا في 11 أكتوبر 2007، والمقدمة علي الهواء مباشرة من قناة أي تي في البريطانية بحضور رئيس الوزراء غوردن براون، والجائزة تمنح للأشخاص الذين ساهموا بأشكال مختلفة من الشجاعة والعطاء أو ممن ساهم في التنمية الاجتماعية والمحلية'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'educational'}]",2024-10-14 14:40:23.862
12,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' ارتئت لجنة التحكيم أن الدكتور يعقوب قد أنجز أكثر من 20 ألف عملية قلب في بريطانيا، وقد ساهم بعمل جمعية خيرية لمرضي القلب الأطفال في دول العالم النامية، ولا يزال يعمل في مجال البحوث الطبية؛ لذا اُخْتِير من لجنة التحكيم ليكون الشخصية البارزة في الحفل، وتم تسليمه الجائزة في نهاية الحفل مع حضور عشرات الأشخاص الذين ساهم الدكتور يعقوب بإنقاذ حياتهم علي خشبة المسرح'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'history'}]",2024-10-14 14:40:25.312
13,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\nحصل الدكتور مجدي يعقوب على وسام الاستحقاق البريطاني لسنة 2014 من الملكة إليزابيث الثانية ملكة بريطانيا'}",text,"['medical ', 'educational', 'history']",False,"[{'user': {'first_name': 'gerges', 'can_add_data': True, 'can_create_jobs': True, 'email': 'gergesdanial19@gmail.com', 'last_name': 'danial', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99'}, 'classes': 'educational'}]",2024-10-14 14:40:26.676
