_id,data,fieldToAnnotate,tags,annotations,createdAt
0,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': 'شركة مايكروسوفت (بالإنجليزية: Microsoft Corporation)\u200f شركة متعددة الجنسيات تعمل في مجال تقنيات الحاسوب، يبلغ عائدها لسنة 2016 أكثر من 85 مليار دولار، ويعمل بها 114,000 موظف (2016) وهي أكبر مصنع للبرمجيات في العالم من ناحية العائدات اعتبارًا من عام 2016'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']","[{'user': {'last_name': 'danial', 'can_create_jobs': True, 'first_name': 'gerges', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True}, 'tags': [{'text': 'Microsoft Corporation', 'tag': 'ORGANIZATION'}, {'text': 'مايكروسوفت', 'tag': 'ORGANIZATION'}, {'text': '2016', 'tag': 'DATE'}, {'text': '2016', 'tag': 'DATE'}, {'text': '2016', 'tag': 'DATE'}]}]",2024-10-10 08:42:43.229
1,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' تطوّر وتصنِّع وترخِّص مدى واسعا من البرمجيات للأجهزة الحاسوبيّة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],2024-10-10 08:42:53.064
2,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' يقع المقر الرئيسي للشركة في ضواحي ريدمونت، سياتل، بولاية واشنطن، الولايات المتحدة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']","[{'user': {'last_name': 'danial', 'can_create_jobs': True, 'first_name': 'gerges', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True}, 'tags': [{'text': 'ريدمونت', 'tag': 'LOCATION'}, {'text': 'سياتل', 'tag': 'LOCATION'}, {'text': 'واشنطن', 'tag': 'LOCATION'}, {'text': 'الولايات', 'tag': 'LOCATION'}, {'text': 'المتحدة', 'tag': 'LOCATION'}]}]",2024-10-10 08:43:26.235
3,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nعندما أسست شركة مايكروسوفت، اتخذ كل من بيل غيتس وبول ألين من مدينة ألباكركي في ولاية نيو مكسيكو مقرا للشركة ومن ثم انتقلت الشركة إلى موقعها الحالي'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']","[{'user': {'last_name': 'danial', 'can_create_jobs': True, 'first_name': 'gerges', 'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True}, 'tags': [{'text': 'مايكروسوفت', 'tag': 'ORGANIZATION'}, {'text': ' بيل غيتس', 'tag': 'PERSON'}, {'text': 'ول ألين', 'tag': 'PERSON'}, {'text': 'ألباكركي', 'tag': 'LOCATION'}, {'text': 'نيو مكسيكو', 'tag': 'LOCATION'}]}]",2024-10-10 08:43:55.724
4,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' تجدر الإشارة أن بيل غيتس وبول ألين هما المؤسسان والملاك لهذه الشركة قبل أن تصبح من الشركات العامة والمتداولة في أسواق الأسهم'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
5,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nإنها واحدة من أكبر خمس شركات تكنولوجيا المعلومات الأمريكية، إلى جانب جوجل، أمازون، أبل، وميتا'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
6,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\n\nتاريخ\nتأسست شركة مايكروسوفت العملاقة من قبل بيل غيتس وبول ألين في 4 نيسان/أبريل من عام 1975م، كشركة لتسويق معالجات بيسك واشتهرت شركة مايكروسوفت بهذا المنتج نظراً لجودته وتسابقت باقي الشركات لتزويد السوق بمعالجات بيسك المتوافقة مع معالج بيسك من شركة مايكروسوفت'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
7,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ونتيجة لتكالب الشركات في السباق آنف الذّكر، أصبح معالج بيسك والمُنتج من قِبل شركة مايكروسوفت بمثابة المقياس في معالجات بيسك وهيمنت شركة مايكروسوفت على سوق معالجات بيسك وقام كل من بيل غايتس وبول آلان بتسجيل الماركة التجارية «مايكروسوفت» في 26 نوفمبر 1976'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
8,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nأوّل نظام تشغيل أصدرته مايكروسوفت كان نسخة من نظام يونكس في عام 1980'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
9,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولقد أشترتها من شركة إيه تي آند تي عبر ترخيص توزيع، وأسمته ميكروسوفت بالاسم زينيكس ووظفت شركة Santa Cruz Operation لتطويعه ليعمل على أكثر من منصّة تشغيل'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
10,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولم تبِع شركة مايكروسوفت هذا النظام للمستخدم مباشرة، بل عبر بيعه لمصنِّعي الحواسيب'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
11,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ومع منتصف الثمانينات خرجت شركة مايكروسوفت من سوق يونكس تماما'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
12,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nوفي أواخر عام 1980م احتاجت شركة أي بي أم نظام تشغيل لجهاز الحاسوب الشخصي المزمع طرحه في الأسواق فقامت شركة مايكروسوفت بدور الوسيط بين شركة «سياتل كومبيوتر برودكتس» وشركة آي بي إم لاستعمال نظام التشغيل QDOS من قبل الشركة الأولى على الأجهزة الشخصية آي بي إم'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
13,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وقامت شركة مايكروسوفت في النهاية بشراء الحقوق التجارية لـ QDOS وأسمته إم إس-دوس'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
14,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وقامت شركة آي بي إم بطرح الحاسوب الشخصي في عام 1981م، وكان نظام التشغيل الملحق بالجهاز يسمى PC-DOS وقامت شركة مايكروسوفت بحفظ حقوقها تجاه المنتج MS-DOS ومنح ترخيص تجاري لـ آي بي إم لتسويق PC-DOS كنظام لتشغيل أجهزة IBM'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
15,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' CACA - TETA - CULO - ILDE ES TONTO - BRRL\nسمحت الصفقة مع آي بي إم لشركة مايكروسوفت بأن تتحكم في نسختها الخاصة من النظام، ومع انتشار أجهزة الحواسيب المتوافقة مع آي بي إم وسياسة التسويق الواسعة تحوّلت شركة مايكروسوفت من لاعب صغير إلى أحد المنتجين الرئيسيين للبرمجيات في سوق الحواسيب المنزليّة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
16,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nلم تكن البرامج المستخدمة على أجهزة الحواسيب الشخصية أفضل من الناحية الفنية عن نظيراتها المستخدمة على أجهزة الحواسيب العملاقة ولكن امتازت الأولى عن الثانية بأنها أعطت درجة من الحرية في استخدام هذه البرامج بشكل أفضل ناهيك عن رخص تكلفة البرامج التي تعمل على أجهزة الحاسوب الشخصية بالمقارنة مع تكلفة نفس البرامج التي تعمل على أجهزة الحاسوب العملاقة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
17,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' تجدر الإشارة أن أحد أهم أسباب سرعة هيمنة شركة مايكروسوفت على عالم البرمجيات هي الطفرة في انتشار الحاسب الشخصي في حقبة الثمانينات من القرن العشرين'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
18,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nفي 29 يوليو 2009 تم الاتفاق بين شركتي ياهوو ومايكروسوفت على صفقة لمدة عشر سنوات تسمح لشركة مايكروسوفت باستخدام محرك البحث الخاص بشركة ياهوو لصالحها'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
19,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nإن كلا من بيل غيتس وبول ألين كانا صديقان منذ الطفولة، ولديهما شغف وحب لبرمجة الحاسب الآلى وكانا يسعيان لعمل أعمال تجارية ناجحة للاستفادة من مهاراتهما المشتركة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
20,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وفي عام 1972، أسس الأثنان شركتهما الأولى ترافوداتا التي وفرت الحاسب الآلي البدائي، والذي تعقب وحلل بيانات حركة السيارات'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
21,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولقد سافر بول ألين للحصول على درجة علمية في علم الحاسب الآلي في جامعة واشنطن، ولاحقا ترك الدراسة للعمل في هانيويل'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
