_id,data,fieldToAnnotate,tags,annotations,createdAt,updatedAt
0,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': 'مجدي حبيب يعقوب (مواليد 16 نوفمبر 1935) هو بروفيسور مصري، وجراح قلب بارز'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'مجدي', 'tag': 'B-PERS'}, {'text': 'حبيب', 'tag': 'I-PERS'}, {'text': 'يعقوب', 'tag': 'I-PERS'}, {'text': '(', 'tag': 'O'}, {'text': 'مواليد', 'tag': 'O'}, {'text': '16', 'tag': 'O'}, {'text': 'نوفمبر', 'tag': 'O'}, {'text': '1935', 'tag': 'O'}, {'text': ')', 'tag': 'O'}, {'text': 'هو', 'tag': 'O'}, {'text': 'بروفيسور', 'tag': 'O'}, {'text': 'مصري', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'وجراح', 'tag': 'O'}, {'text': 'قلب', 'tag': 'O'}, {'text': 'بارز', 'tag': 'O'}]}]",2024-11-04 10:44:25.820,2024-11-04 10:44:25.820
1,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' من مواليد مدينة بلبيس، محافظة الشرقية، مصر، لعائلة قبطية أرثوذكسية، وتنحدر أصولها من المنيا'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'من', 'tag': 'O'}, {'text': 'مواليد', 'tag': 'O'}, {'text': 'مدينة', 'tag': 'O'}, {'text': 'بلبيس', 'tag': 'B-LOC'}, {'text': '،', 'tag': 'O'}, {'text': 'محافظة', 'tag': 'O'}, {'text': 'الشرقية', 'tag': 'B-LOC'}, {'text': '،', 'tag': 'O'}, {'text': 'مصر', 'tag': 'B-LOC'}, {'text': '،', 'tag': 'O'}, {'text': 'لعائلة', 'tag': 'O'}, {'text': 'قبطية', 'tag': 'O'}, {'text': 'أرثوذكسية', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'وتنحدر', 'tag': 'O'}, {'text': 'أصولها', 'tag': 'O'}, {'text': 'من', 'tag': 'O'}, {'text': 'المنيا', 'tag': 'B-LOC'}]}]",2024-11-04 10:44:25.914,2024-11-04 10:44:25.914
2,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' درس الطب في جامعة القاهرة، وتعلم في شيكاغو، ثم انتقل إلى بريطانيا في عام 1962 ليعمل في مستشفى الصدر بلندن، ثم أصبح أخصائي جراحات القلب والرئتين في مستشفى هارفيلد (من 1969 إلى 2001)، ومدير قسم الأبحاث العلمية والتعليم (منذ عام 1992)'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'درس', 'tag': 'O'}, {'text': 'الطب', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'جامعة', 'tag': 'O'}, {'text': 'القاهرة', 'tag': 'B-LOC'}, {'text': '،', 'tag': 'O'}, {'text': 'وتعلم', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'شيكاغو', 'tag': 'B-LOC'}, {'text': '،', 'tag': 'O'}, {'text': 'ثم', 'tag': 'O'}, {'text': 'انتقل', 'tag': 'O'}, {'text': 'إلى', 'tag': 'O'}, {'text': 'بريطانيا', 'tag': 'B-LOC'}, {'text': 'في', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '1962', 'tag': 'O'}, {'text': 'ليعمل', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'مستشفى', 'tag': 'O'}, {'text': 'الصدر', 'tag': 'O'}, {'text': 'بلندن', 'tag': 'B-LOC'}, {'text': '،', 'tag': 'O'}, {'text': 'ثم', 'tag': 'O'}, {'text': 'أصبح', 'tag': 'O'}, {'text': 'أخصائي', 'tag': 'O'}, {'text': 'جراحات', 'tag': 'O'}, {'text': 'القلب', 'tag': 'O'}, {'text': 'والرئتين', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'مستشفى', 'tag': 'O'}, {'text': 'هارفيلد', 'tag': 'B-ORG'}, {'text': '(', 'tag': 'O'}, {'text': 'من', 'tag': 'O'}, {'text': '1969', 'tag': 'O'}, {'text': 'إلى', 'tag': 'O'}, {'text': '2001', 'tag': 'O'}, {'text': ')', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'ومدير', 'tag': 'O'}, {'text': 'قسم', 'tag': 'O'}, {'text': 'الأبحاث', 'tag': 'O'}, {'text': 'العلمية', 'tag': 'O'}, {'text': 'والتعليم', 'tag': 'O'}, {'text': '(', 'tag': 'O'}, {'text': 'منذ', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '1992', 'tag': 'O'}, {'text': ')', 'tag': 'O'}]}]",2024-11-04 10:44:26.013,2024-11-04 10:44:26.013
3,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' عُين أستاذًا في المعهد القومي للقلب والرئة في عام 1986، واهتم بتطوير تقنيات جراحات نقل القلب منذ عام 1967'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'عُين', 'tag': 'O'}, {'text': 'أستاذًا', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'المعهد', 'tag': 'B-ORG'}, {'text': 'القومي', 'tag': 'I-ORG'}, {'text': 'للقلب', 'tag': 'I-ORG'}, {'text': 'والرئة', 'tag': 'I-ORG'}, {'text': 'في', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '1986', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'واهتم', 'tag': 'O'}, {'text': 'بتطوير', 'tag': 'O'}, {'text': 'تقنيات', 'tag': 'O'}, {'text': 'جراحات', 'tag': 'O'}, {'text': 'نقل', 'tag': 'O'}, {'text': 'القلب', 'tag': 'O'}, {'text': 'منذ', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '1967', 'tag': 'O'}]}]",2024-11-04 10:44:26.115,2024-11-04 10:44:26.115
4,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' في عام 1980 قام بعملية نقل قلب للمريض دريك موريس، والذي أصبح أطول مريض نقل قلب أوروبي على قيد الحياة حتى موته في يوليو 2005'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'في', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '1980', 'tag': 'O'}, {'text': 'قام', 'tag': 'O'}, {'text': 'بعملية', 'tag': 'O'}, {'text': 'نقل', 'tag': 'O'}, {'text': 'قلب', 'tag': 'O'}, {'text': 'للمريض', 'tag': 'O'}, {'text': 'دريك', 'tag': 'B-PERS'}, {'text': 'موريس', 'tag': 'I-PERS'}, {'text': '،', 'tag': 'O'}, {'text': 'والذي', 'tag': 'O'}, {'text': 'أصبح', 'tag': 'O'}, {'text': 'أطول', 'tag': 'O'}, {'text': 'مريض', 'tag': 'O'}, {'text': 'نقل', 'tag': 'O'}, {'text': 'قلب', 'tag': 'O'}, {'text': 'أوروبي', 'tag': 'O'}, {'text': 'على', 'tag': 'O'}, {'text': 'قيد', 'tag': 'O'}, {'text': 'الحياة', 'tag': 'O'}, {'text': 'حتى', 'tag': 'O'}, {'text': 'موته', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'يوليو', 'tag': 'O'}, {'text': '2005', 'tag': 'O'}]}]",2024-11-04 10:44:26.213,2024-11-04 10:44:26.213
5,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' من بين المشاهير الذين أجرى لهم عمليات كان الكوميدي البريطاني إريك موركامب، ومنحته الملكة إليزابيث الثانية لقب فارس في عام 1992، ويُطلق عليه في الإعلام البريطاني لقب «ملك القلوب»'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'من', 'tag': 'O'}, {'text': 'بين', 'tag': 'O'}, {'text': 'المشاهير', 'tag': 'O'}, {'text': 'الذين', 'tag': 'O'}, {'text': 'أجرى', 'tag': 'O'}, {'text': 'لهم', 'tag': 'O'}, {'text': 'عمليات', 'tag': 'O'}, {'text': 'كان', 'tag': 'O'}, {'text': 'الكوميدي', 'tag': 'O'}, {'text': 'البريطاني', 'tag': 'O'}, {'text': 'إريك', 'tag': 'B-PERS'}, {'text': 'موركامب', 'tag': 'I-PERS'}, {'text': '،', 'tag': 'O'}, {'text': 'ومنحته', 'tag': 'O'}, {'text': 'الملكة', 'tag': 'O'}, {'text': 'إليزابيث', 'tag': 'B-PERS'}, {'text': 'الثانية', 'tag': 'I-PERS'}, {'text': 'لقب', 'tag': 'O'}, {'text': 'فارس', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '1992', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'ويُطلق', 'tag': 'O'}, {'text': 'عليه', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'الإعلام', 'tag': 'O'}, {'text': 'البريطاني', 'tag': 'O'}, {'text': 'لقب', 'tag': 'O'}, {'text': '«', 'tag': 'O'}, {'text': 'ملك', 'tag': 'O'}, {'text': 'القلوب', 'tag': 'O'}, {'text': '»', 'tag': 'O'}]}]",2024-11-04 10:44:26.310,2024-11-04 10:44:26.310
6,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\nفي عام 2001 حين أصبح عمره 65 سنة اعتزل إجراء العمليات الجراحية واستمر كاستشاري ومُنظر لعمليات نقل الأعضاء'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'في', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '2001', 'tag': 'O'}, {'text': 'حين', 'tag': 'O'}, {'text': 'أصبح', 'tag': 'O'}, {'text': 'عمره', 'tag': 'O'}, {'text': '65', 'tag': 'O'}, {'text': 'سنة', 'tag': 'O'}, {'text': 'اعتزل', 'tag': 'O'}, {'text': 'إجراء', 'tag': 'O'}, {'text': 'العمليات', 'tag': 'O'}, {'text': 'الجراحية', 'tag': 'O'}, {'text': 'واستمر', 'tag': 'O'}, {'text': 'كاستشاري', 'tag': 'O'}, {'text': 'ومُنظر', 'tag': 'O'}, {'text': 'لعمليات', 'tag': 'O'}, {'text': 'نقل', 'tag': 'O'}, {'text': 'الأعضاء', 'tag': 'O'}]}]",2024-11-04 10:44:26.404,2024-11-04 10:44:26.404
7,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' في عام 2006 قطع الدكتور مجدي يعقوب اعتزاله العمليات ليقود عملية معقدة تتطلب إزالة قلب مزروع في مريضة بعد شفاء قلبها الطبيعي، حيث لم يزل القلب الطبيعي للطفلة المريضة خلال عملية الزرع السابقة، والتي قام بها السير مجدي يعقوب'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'في', 'tag': 'O'}, {'text': 'عام', 'tag': 'O'}, {'text': '2006', 'tag': 'O'}, {'text': 'قطع', 'tag': 'O'}, {'text': 'الدكتور', 'tag': 'O'}, {'text': 'مجدي', 'tag': 'B-PERS'}, {'text': 'يعقوب', 'tag': 'I-PERS'}, {'text': 'اعتزاله', 'tag': 'O'}, {'text': 'العمليات', 'tag': 'O'}, {'text': 'ليقود', 'tag': 'O'}, {'text': 'عملية', 'tag': 'O'}, {'text': 'معقدة', 'tag': 'O'}, {'text': 'تتطلب', 'tag': 'O'}, {'text': 'إزالة', 'tag': 'O'}, {'text': 'قلب', 'tag': 'O'}, {'text': 'مزروع', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'مريضة', 'tag': 'O'}, {'text': 'بعد', 'tag': 'O'}, {'text': 'شفاء', 'tag': 'O'}, {'text': 'قلبها', 'tag': 'O'}, {'text': 'الطبيعي', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'حيث', 'tag': 'O'}, {'text': 'لم', 'tag': 'O'}, {'text': 'يزل', 'tag': 'O'}, {'text': 'القلب', 'tag': 'O'}, {'text': 'الطبيعي', 'tag': 'O'}, {'text': 'للطفلة', 'tag': 'O'}, {'text': 'المريضة', 'tag': 'O'}, {'text': 'خلال', 'tag': 'O'}, {'text': 'عملية', 'tag': 'O'}, {'text': 'الزرع', 'tag': 'O'}, {'text': 'السابقة', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'والتي', 'tag': 'O'}, {'text': 'قام', 'tag': 'O'}, {'text': 'بها', 'tag': 'O'}, {'text': 'السير', 'tag': 'O'}, {'text': 'مجدي', 'tag': 'B-PERS'}, {'text': 'يعقوب', 'tag': 'I-PERS'}]}]",2024-11-04 10:44:26.500,2024-11-04 10:44:26.500
8,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': '\nحصل على زمالة كلية الجراحين الملكية بـلندن، وحصل على ألقابٍ وأوسمةٍ من أكبر الجامعات حول العالم مثل: جامعة برونيل، وجامعة كارديف، وجامعة لوفبرا، وجامعة ميدلسكس (جامعات بريطانية)، وكذلك من جامعة لوند بـالسويد'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'حصل', 'tag': 'O'}, {'text': 'على', 'tag': 'O'}, {'text': 'زمالة', 'tag': 'O'}, {'text': 'كلية', 'tag': 'O'}, {'text': 'الجراحين', 'tag': 'I-ORG'}, {'text': 'الملكية', 'tag': 'I-ORG'}, {'text': 'بـلندن', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'وحصل', 'tag': 'O'}, {'text': 'على', 'tag': 'O'}, {'text': 'ألقابٍ', 'tag': 'O'}, {'text': 'وأوسمةٍ', 'tag': 'O'}, {'text': 'من', 'tag': 'O'}, {'text': 'أكبر', 'tag': 'O'}, {'text': 'الجامعات', 'tag': 'O'}, {'text': 'حول', 'tag': 'O'}, {'text': 'العالم', 'tag': 'O'}, {'text': 'مثل', 'tag': 'O'}, {'text': ':', 'tag': 'O'}, {'text': 'جامعة', 'tag': 'B-ORG'}, {'text': 'برونيل', 'tag': 'I-ORG'}, {'text': '،', 'tag': 'O'}, {'text': 'وجامعة', 'tag': 'O'}, {'text': 'كارديف', 'tag': 'I-ORG'}, {'text': '،', 'tag': 'O'}, {'text': 'وجامعة', 'tag': 'O'}, {'text': 'لوفبرا', 'tag': 'I-ORG'}, {'text': '،', 'tag': 'O'}, {'text': 'وجامعة', 'tag': 'O'}, {'text': 'ميدلسكس', 'tag': 'I-ORG'}, {'text': '(', 'tag': 'O'}, {'text': 'جامعات', 'tag': 'O'}, {'text': 'بريطانية', 'tag': 'O'}, {'text': ')', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'وكذلك', 'tag': 'O'}, {'text': 'من', 'tag': 'O'}, {'text': 'جامعة', 'tag': 'B-ORG'}, {'text': 'لوند', 'tag': 'I-ORG'}, {'text': 'بـالسويد', 'tag': 'O'}]}]",2024-11-04 10:44:26.599,2024-11-04 10:44:26.599
9,"{'pageTitle': 'مجدي يعقوب', 'language': 'ar', 'text': ' وله كراس شرفية في جامعة لاهور بـباكستان، وجامعة سيينا بـإيطاليا'}",text,"['B-LOC', 'I-LOC', 'B-PERS', 'I-PERS', 'B-ORG', 'I-ORG', 'B-MISC', 'I-MISC', 'DATE', 'TIME', 'O']","[{'user': {'id': 'ac95fa01-5a2a-4bec-949c-82c6689d7e99', 'first_name': 'gerges', 'last_name': 'danial', 'email': 'gergesdanial19@gmail.com', 'can_add_data': True, 'can_create_jobs': True}, 'tags': [{'text': 'وله', 'tag': 'O'}, {'text': 'كراس', 'tag': 'O'}, {'text': 'شرفية', 'tag': 'O'}, {'text': 'في', 'tag': 'O'}, {'text': 'جامعة', 'tag': 'B-ORG'}, {'text': 'لاهور', 'tag': 'I-ORG'}, {'text': 'بـباكستان', 'tag': 'O'}, {'text': '،', 'tag': 'O'}, {'text': 'وجامعة', 'tag': 'O'}, {'text': 'سيينا', 'tag': 'I-ORG'}, {'text': 'بـإيطاليا', 'tag': 'O'}]}]",2024-11-04 10:44:26.694,2024-11-04 10:44:26.694
